movie_id,Name of movie,Year of release,Rating,Votes,Genre
311,The Wolf of Snow Hollow,2020,6.2,13118,"Comedy,Horror,Thriller"
312,Dance Flick,2009,3.5,11868,"Action,Comedy,Music"
313,Kôkaku kidôtai 2.0,2008,8.0,13933,"Animation,Action,Adventure"
314,The Angriest Man in Brooklyn,2014,5.7,21417,"Comedy,Drama"
315,The Apparition,2012,4.1,19201,"Horror,Thriller"
316,Get a Job,2016,5.3,22046,Comedy
317,The Devil Inside,2012,4.2,35041,Horror
318,"Jeff, Who Lives at Home",2011,6.5,62405,"Comedy,Drama"
319,30 Minutes or Less,2011,6.1,96011,"Action,Comedy,Crime"
320,The Art of Getting By,2011,6.6,57000,"Drama,Romance"
321,The Dictator,2012,6.4,284683,Comedy
322,Piranha 3DD,2012,3.7,40555,"Comedy,Horror"
323,Paranormal Activity 3,2011,5.8,91222,"Horror,Mystery"
324,Demonic,2015,5.3,14082,"Horror,Mystery,Thriller"
325,The Possession of Michael King,2014,5.7,11883,Horror
326,They Came Together,2014,5.6,21681,"Comedy,Romance"
327,The Starving Games,2013,3.2,19414,"Comedy,Sci-Fi"
328,The Lazarus Effect,2015,5.2,41576,"Horror,Mystery,Sci-Fi"
329,Planes: Fire & Rescue,2014,6.0,17019,"Animation,Adventure,Comedy"
330,Grimsby,2016,6.2,95325,"Action,Adventure,Comedy"
331,Parallels,2015,6.1,13999,"Action,Sci-Fi"
332,Don't Hang Up,2016,5.6,13183,"Horror,Thriller"
333,Unfriended,2014,5.5,70542,"Horror,Mystery,Thriller"
334,The Young Offenders,2016,7.1,11807,"Adventure,Comedy,Crime"
335,Like a Boss,2020,4.6,11462,Comedy
336,Shadow in the Cloud,2020,4.8,17257,"Action,Horror,War"
337,The Killing,1956,8.0,83303,"Crime,Drama,Film-Noir"
338,The Last House on the Left,1972,6.0,33514,"Crime,Horror,Thriller"
339,Sleepaway Camp,1983,6.3,27986,Horror
340,Broadway Danny Rose,1984,7.4,24353,Comedy
341,When the Wind Blows,1986,7.7,10117,"Animation,Comedy,Drama"
342,She's Gotta Have It,1986,6.8,12863,"Comedy,Romance"
343,The Transformers: The Movie,1986,7.3,37883,"Animation,Action,Adventure"
344,Evil Dead II,1987,7.7,150930,"Comedy,Horror"
345,Brain Damage,1988,6.6,10076,"Comedy,Drama,Horror"
346,Krótki film o zabijaniu,1988,8.1,18193,"Crime,Drama"
347,All Dogs Go to Heaven,1989,6.8,37254,"Animation,Comedy,Drama"
348,Police Academy 6: City Under Siege,1989,4.4,28614,"Comedy,Crime"
349,Child's Play 2,1990,5.9,46472,"Horror,Thriller"
350,Beauty and the Beast,1991,8.0,422741,"Animation,Family,Fantasy"
351,Hot Shots!,1991,6.8,101306,"Action,Comedy"
352,3 Ninjas,1992,5.3,20649,"Action,Comedy,Family"
353,Passenger 57,1992,5.9,45839,"Action,Crime,Thriller"
354,Tom and Jerry: The Movie,1992,5.4,10116,"Animation,Adventure,Comedy"
355,Homeward Bound: The Incredible Journey,1993,6.9,42926,"Adventure,Comedy,Drama"
356,Loaded Weapon 1,1993,6.2,45141,"Action,Comedy,Crime"
